,0,1,2,3,4,5,6,7,8
83,2.0,2.0,2.0,0.632,2.0,1.946,2.0,0.87,2.0
84,2.0,2.0,0.127,0.62,2.0,2.0,2.0,1.037,2.0
85,2.0,1.095,0.157,0.62,2.0,2.0,1.038,1.257,2.0
86,2.0,0.993,2.0,0.841,1.652,2.0,1.027,2.0,0.83
87,2.0,1.008,0.178,0.768,2.0,2.0,1.035,1.495,0.796
88,2.0,0.967,0.096,0.78,1.95,2.0,1.065,2.0,0.791
89,2.0,1.065,0.137,0.689,2.0,2.0,1.123,1.121,2.0
90,2.0,1.03,0.285,0.619,2.0,2.0,1.029,2.0,1.728
91,2.0,1.078,0.173,0.684,1.99,2.0,1.017,2.0,1.794
92,2.0,1.013,0.104,0.754,2.0,2.0,1.041,2.0,2.0
93,2.0,2.0,0.399,0.551,1.647,2.0,1.067,2.0,0.825
94,2.0,1.019,0.152,0.725,2.0,2.0,1.036,1.434,0.812
95,2.0,0.999,0.264,0.757,2.0,2.0,1.037,1.294,0.932
96,2.0,1.03,0.379,0.484,2.0,2.0,1.006,2.0,1.797
97,2.0,2.0,0.163,0.546,2.0,2.0,2.0,0.887,2.0
98,2.0,0.969,0.206,0.778,2.0,2.0,1.027,2.0,0.817
99,2.0,2.0,0.703,0.658,2.0,2.0,2.0,1.689,0.788
100,2.0,0.946,0.263,0.793,2.0,2.0,1.096,2.0,0.858
101,2.0,2.0,0.129,0.677,2.0,1.974,1.09,1.155,2.0
102,2.0,1.053,0.183,0.709,2.0,2.0,1.022,2.0,1.887
103,2.0,0.987,0.111,0.739,2.0,2.0,1.029,2.0,2.0
104,2.0,2.0,2.0,0.62,2.0,2.0,1.124,0.925,2.0
105,2.0,1.137,0.21,0.277,2.0,1.995,1.012,2.0,2.0
106,2.0,2.0,0.593,0.297,2.0,2.0,1.04,1.089,1.786
107,2.0,1.032,0.097,0.739,2.0,2.0,1.032,1.246,2.0
108,2.0,2.0,0.476,0.396,2.0,1.978,1.017,0.884,2.0
109,2.0,2.0,0.191,0.532,2.0,2.0,2.0,0.891,2.0
110,2.0,2.0,0.136,0.597,2.0,1.85,2.0,1.093,2.0
111,2.0,2.0,0.157,0.677,2.0,2.0,1.058,1.129,2.0
112,2.0,1.087,0.141,0.667,2.0,2.0,1.013,1.245,1.937
113,2.0,1.002,0.366,0.77,1.964,2.0,1.042,1.493,0.787
114,2.0,2.0,0.585,0.639,2.0,2.0,2.0,1.351,0.81
115,2.0,2.0,2.0,0.3,2.0,1.965,1.045,2.0,2.0
116,2.0,2.0,0.14,0.632,2.0,2.0,2.0,1.019,2.0
117,2.0,2.0,0.256,0.604,2.0,2.0,2.0,1.064,0.896
118,2.0,2.0,0.129,0.638,2.0,1.992,1.025,2.0,2.0
119,2.0,2.0,0.21,0.641,2.0,2.0,1.06,1.233,1.759
120,1.902,2.0,0.315,0.577,2.0,2.0,2.0,0.913,2.0
121,2.0,0.941,0.081,0.81,2.0,2.0,1.004,2.0,2.0
122,2.0,2.0,0.157,0.623,2.0,2.0,2.0,1.029,1.985
123,2.0,2.0,0.588,0.609,2.0,2.0,2.0,0.962,1.972
124,2.0,2.0,0.126,0.659,2.0,2.0,1.111,0.997,2.0
125,2.0,2.0,0.193,0.686,2.0,2.0,1.038,1.23,1.873
126,2.0,1.121,2.0,0.655,2.0,2.0,2.0,1.003,2.0
127,2.0,1.088,0.161,0.7,2.0,2.0,1.053,1.195,1.97
128,2.0,2.0,0.623,0.637,2.0,2.0,2.0,0.947,1.993
129,2.0,2.0,0.239,0.666,1.986,2.0,1.023,1.356,0.821
130,2.0,0.989,1.371,0.073,2.0,2.0,1.195,0.739,1.734
131,2.0,1.075,0.156,0.694,2.0,2.0,1.055,1.205,2.0
132,2.0,0.863,0.066,0.92,2.0,2.0,1.144,2.0,1.794
133,2.0,1.09,0.117,0.716,2.0,2.0,1.022,2.0,2.0
134,2.0,2.0,0.609,0.4,2.0,2.0,1.038,0.884,0.82
135,2.0,0.968,0.402,0.775,2.0,2.0,1.008,1.452,0.822
136,2.0,1.047,2.0,0.179,2.0,2.0,1.043,2.0,1.963
137,1.991,1.121,0.103,0.681,2.0,1.979,1.026,1.164,2.0
138,2.0,2.0,0.298,0.548,2.0,2.0,2.0,0.766,1.793
139,2.0,2.0,0.112,0.641,2.0,2.0,2.0,1.05,2.0
140,2.0,0.909,0.083,0.867,2.0,2.0,1.058,2.0,2.0
141,2.0,1.062,0.098,0.692,2.0,2.0,1.087,1.098,1.995
142,2.0,2.0,0.107,0.665,2.0,2.0,1.031,1.12,2.0
143,2.0,2.0,0.286,0.639,2.0,2.0,2.0,1.308,0.796
144,2.0,2.0,0.222,0.643,2.0,2.0,1.081,1.2,0.88
145,2.0,2.0,0.258,0.653,1.995,2.0,1.088,1.233,0.907
146,2.0,1.108,0.075,0.691,2.0,2.0,1.032,2.0,2.0
147,2.0,1.031,0.193,0.37,2.0,2.0,1.042,2.0,1.957
148,2.0,1.056,0.104,0.718,2.0,1.925,1.017,1.433,2.0
149,2.0,1.055,1.036,0.054,2.0,2.0,1.173,0.681,0.774
150,2.0,2.0,0.188,0.555,2.0,2.0,2.0,0.911,2.0
151,1.934,2.0,0.128,0.635,2.0,2.0,2.0,1.102,2.0
152,2.0,2.0,0.093,0.557,2.0,2.0,2.0,0.93,1.94
153,2.0,1.005,0.1,0.838,0.961,2.0,1.061,2.0,0.843
154,2.0,0.908,0.129,0.843,2.0,2.0,1.02,2.0,1.941
155,2.0,0.964,0.765,0.778,2.0,2.0,1.061,1.247,0.888
156,2.0,1.065,0.144,0.704,2.0,2.0,1.041,2.0,1.921
157,1.955,1.06,0.09,0.701,2.0,1.959,1.047,1.31,2.0
158,2.0,2.0,0.122,0.654,2.0,2.0,1.04,1.138,2.0
159,1.924,2.0,0.153,0.514,2.0,2.0,2.0,1.13,2.0
160,2.0,1.05,0.142,0.695,2.0,2.0,1.087,1.188,2.0
161,2.0,2.0,0.146,0.597,2.0,2.0,2.0,1.035,2.0
162,2.0,0.993,0.292,0.773,2.0,2.0,1.121,2.0,0.82
163,2.0,2.0,0.109,0.539,2.0,2.0,2.0,0.905,2.0
164,2.0,1.043,0.115,0.689,2.0,2.0,1.018,1.206,2.0
165,2.0,1.215,0.309,0.663,1.975,2.0,1.077,2.0,0.804
166,2.0,1.094,0.075,0.664,2.0,2.0,1.027,1.205,2.0
167,2.0,2.0,0.593,0.65,2.0,2.0,2.0,1.036,1.738
168,2.0,1.0,0.148,0.756,2.0,2.0,1.058,2.0,2.0
169,2.0,0.981,0.189,0.637,2.0,2.0,1.084,2.0,1.872
170,2.0,2.0,0.132,0.611,2.0,2.0,2.0,0.988,2.0
171,2.0,1.047,2.0,0.723,2.0,2.0,0.994,1.178,2.0
172,2.0,2.0,0.197,0.615,2.0,2.0,2.0,1.048,1.914
173,2.0,2.0,0.147,0.644,2.0,2.0,1.101,1.069,2.0
174,2.0,2.0,0.128,0.619,2.0,2.0,2.0,1.053,2.0
175,2.0,1.038,0.165,0.333,2.0,2.0,1.032,2.0,2.0
176,2.0,2.0,0.153,0.618,2.0,2.0,2.0,1.046,2.0
177,2.0,1.124,2.0,0.131,2.0,2.0,1.008,2.0,2.0
178,2.0,1.072,0.09,0.712,2.0,1.973,1.002,2.0,2.0
179,2.0,1.122,0.09,0.688,2.0,2.0,1.088,1.174,2.0
180,2.0,1.007,2.0,0.083,1.976,2.0,1.2,1.229,0.779
181,2.0,2.0,0.515,0.506,2.0,2.0,1.003,1.187,0.961
182,2.0,2.0,0.25,0.711,1.912,2.0,1.009,2.0,0.799
183,2.0,0.956,0.115,0.797,1.971,2.0,1.045,1.399,0.8
184,2.0,2.0,0.659,0.369,2.0,2.0,1.033,1.2,0.973
185,2.0,2.0,0.184,0.554,2.0,2.0,1.061,1.256,2.0
186,2.0,2.0,0.577,0.606,2.0,2.0,2.0,0.891,2.0
187,2.0,0.976,0.096,0.776,2.0,2.0,1.027,2.0,2.0
188,2.0,1.097,0.162,0.631,2.0,2.0,1.017,1.082,1.981
189,2.0,1.305,0.265,0.668,2.0,2.0,1.019,1.077,1.912
190,2.0,1.044,0.191,0.736,2.0,2.0,1.037,1.371,0.836
191,2.0,0.969,0.199,0.789,1.953,2.0,1.023,1.375,0.793
192,2.0,2.0,0.577,0.639,2.0,2.0,2.0,1.046,2.0
193,2.0,2.0,0.122,0.598,2.0,2.0,2.0,0.958,2.0
194,2.0,1.187,2.0,0.636,2.0,2.0,2.0,0.955,2.0
195,2.0,2.0,0.338,0.524,2.0,2.0,2.0,0.813,2.0
196,2.0,0.959,0.084,0.816,1.976,2.0,1.026,2.0,0.802
197,2.0,1.069,0.1,0.628,2.0,2.0,1.01,2.0,2.0
198,2.0,2.0,0.094,0.586,1.998,2.0,2.0,0.991,1.93
199,2.0,1.109,2.0,0.092,2.0,2.0,1.022,2.0,2.0
200,2.0,0.931,0.281,0.82,2.0,2.0,1.182,1.39,0.792
201,2.0,1.295,0.123,0.807,0.923,2.0,1.056,2.0,0.84
202,2.0,0.95,0.11,0.818,2.0,2.0,1.022,2.0,0.78
203,2.0,2.0,0.405,0.651,2.0,2.0,2.0,1.02,1.982
204,2.0,2.0,0.593,0.621,1.993,2.0,2.0,0.952,1.816
205,2.0,2.0,0.649,0.595,2.0,2.0,2.0,0.949,1.073
206,2.0,2.0,0.674,0.372,2.0,2.0,1.051,1.193,1.064
207,2.0,2.0,0.165,0.638,2.0,2.0,1.069,1.042,2.0
208,2.0,1.092,0.15,0.672,2.0,1.944,2.0,1.03,2.0
209,2.0,1.186,0.193,0.659,2.0,2.0,0.973,1.136,1.903
210,2.0,1.041,0.116,0.718,2.0,1.933,1.077,1.204,2.0
211,2.0,1.003,0.111,0.511,2.0,2.0,1.047,2.0,2.0
212,2.0,1.107,0.112,0.67,2.0,2.0,1.051,1.165,2.0
213,2.0,2.0,0.317,0.702,1.999,2.0,1.023,1.191,1.287
214,2.0,2.0,0.162,0.524,2.0,2.0,2.0,0.82,2.0
215,2.0,2.0,0.145,0.591,2.0,2.0,2.0,1.013,2.0
216,2.0,1.004,0.13,0.544,2.0,2.0,1.025,2.0,2.0
217,2.0,1.023,0.092,0.724,2.0,2.0,1.047,2.0,2.0
218,2.0,2.0,0.145,0.57,2.0,2.0,0.985,1.073,2.0
219,2.0,1.067,0.269,0.733,2.0,2.0,1.052,2.0,1.901
220,2.0,1.005,0.104,0.739,2.0,2.0,1.02,2.0,2.0
221,2.0,2.0,0.177,0.644,2.0,2.0,2.0,1.04,2.0
222,2.0,0.918,2.0,1.298,0.838,2.0,1.074,2.0,0.842
223,2.0,1.045,2.0,0.69,2.0,2.0,1.166,1.09,2.0
224,2.0,1.094,2.0,0.658,2.0,2.0,2.0,0.984,2.0
225,2.0,0.945,0.094,0.814,1.972,2.0,1.009,1.544,0.797
226,2.0,0.935,2.0,0.067,2.0,1.94,1.252,2.0,2.0
227,2.0,2.0,0.103,0.667,2.0,2.0,1.026,2.0,2.0
228,2.0,2.0,0.141,0.609,2.0,2.0,1.094,1.129,2.0
229,2.0,1.056,2.0,0.229,2.0,2.0,1.045,2.0,2.0
230,2.0,2.0,0.165,0.623,2.0,2.0,2.0,1.046,2.0
231,2.0,2.0,0.158,0.635,1.999,2.0,1.051,1.119,2.0
232,2.0,0.998,1.026,0.104,2.0,2.0,1.158,1.269,0.77
233,2.0,0.984,0.612,0.47,1.982,2.0,1.087,1.374,0.785
234,2.0,1.008,0.189,0.73,2.0,2.0,1.021,2.0,1.366
235,2.0,1.058,0.123,0.699,2.0,2.0,0.997,2.0,1.993
236,2.0,1.058,0.098,0.713,2.0,2.0,1.022,2.0,1.962
237,2.0,1.095,0.22,0.719,1.986,2.0,1.037,2.0,0.86
238,2.0,1.081,0.538,0.684,2.0,2.0,2.0,0.959,1.976
239,2.0,0.988,2.0,0.773,2.0,2.0,1.022,2.0,2.0
240,2.0,2.0,0.108,0.66,2.0,1.996,1.141,1.092,2.0
241,2.0,2.0,0.228,0.629,1.994,2.0,2.0,1.082,0.911
242,2.0,1.049,0.174,0.752,2.0,2.0,1.033,2.0,1.131
243,2.0,2.0,0.497,0.637,2.0,2.0,2.0,0.936,2.0
244,2.0,2.0,0.177,0.651,2.0,2.0,1.024,1.226,2.0
245,2.0,1.032,0.13,0.726,2.0,2.0,1.025,2.0,2.0
246,2.0,2.0,0.174,0.608,2.0,2.0,2.0,0.979,1.973
247,2.0,1.045,2.0,0.226,2.0,2.0,1.051,2.0,2.0
248,2.0,2.0,0.854,0.208,1.737,2.0,1.05,0.44,0.821
249,2.0,1.02,0.23,0.746,2.0,2.0,1.011,1.317,1.052
250,2.0,1.052,0.165,0.698,2.0,2.0,0.999,2.0,1.839
251,2.0,2.0,0.262,0.49,0.969,2.0,1.061,2.0,0.866
252,1.998,2.0,0.119,0.634,2.0,2.0,1.088,1.041,2.0
253,2.0,2.0,0.135,0.659,2.0,2.0,1.045,1.125,2.0
254,2.0,2.0,0.101,0.676,2.0,1.937,0.997,1.178,2.0
255,2.0,2.0,0.126,0.581,2.0,2.0,2.0,1.002,2.0
256,1.959,2.0,0.103,0.606,2.0,1.986,1.003,1.187,2.0
257,2.0,1.036,0.204,0.719,1.96,2.0,1.019,1.374,0.849
258,2.0,2.0,0.113,0.647,2.0,2.0,0.992,2.0,2.0
259,2.0,2.0,0.676,0.271,2.0,2.0,1.03,1.101,1.74
260,2.0,2.0,0.177,0.64,2.0,2.0,2.0,0.992,2.0
261,2.0,1.102,0.18,0.653,2.0,2.0,2.0,0.874,2.0
262,2.0,1.115,0.26,0.676,2.0,2.0,1.017,2.0,0.815
263,2.0,1.066,0.159,0.688,2.0,2.0,1.012,2.0,1.932
264,2.0,2.0,0.623,0.605,2.0,2.0,2.0,0.953,1.78
265,2.0,1.014,0.2,0.718,2.0,2.0,1.041,1.416,0.918
266,2.0,0.976,0.215,0.662,1.997,2.0,1.09,1.531,0.773
267,2.0,1.009,0.272,0.751,1.986,2.0,1.001,1.424,0.897
268,2.0,1.137,0.636,0.67,2.0,2.0,2.0,0.965,2.0
269,2.0,2.0,0.109,0.686,2.0,2.0,1.102,1.11,2.0
270,2.0,0.912,0.229,0.85,1.998,2.0,1.111,2.0,0.812
271,2.0,2.0,0.948,0.093,0.979,2.0,1.056,0.406,0.834
272,2.0,2.0,2.0,0.081,2.0,2.0,1.042,0.471,2.0
273,2.0,0.919,0.082,0.403,2.0,2.0,1.219,2.0,2.0
274,2.0,0.951,0.258,0.815,2.0,2.0,1.051,1.399,0.886
275,2.0,2.0,0.282,0.559,2.0,2.0,2.0,0.794,1.992
276,2.0,1.018,0.676,0.564,1.983,2.0,1.023,1.352,0.815
277,2.0,2.0,0.385,0.646,2.0,2.0,2.0,1.056,1.992
278,2.0,2.0,0.111,0.647,2.0,1.991,1.042,1.255,2.0
279,2.0,1.13,0.73,0.349,1.989,2.0,1.034,1.408,0.78
280,2.0,2.0,0.19,0.656,1.992,2.0,1.028,1.287,1.842
281,2.0,1.006,0.711,0.761,2.0,2.0,1.023,2.0,0.936
282,2.0,2.0,0.638,0.223,2.0,2.0,1.009,0.742,1.89
283,1.986,1.079,0.097,0.572,2.0,2.0,1.015,2.0,2.0
284,2.0,2.0,0.107,0.631,2.0,2.0,1.011,1.176,2.0
285,2.0,0.859,0.141,0.868,1.995,2.0,1.245,1.293,0.793
286,2.0,1.066,0.215,0.648,2.0,2.0,1.009,2.0,1.916
287,2.0,2.0,0.208,0.546,2.0,2.0,1.01,1.132,2.0
288,2.0,1.004,0.175,0.757,2.0,2.0,1.035,1.659,0.805
