,0,1,2,3,4,5,6,7,8
0,0.99995875,0.99993837,0.38962978,0.6376396,0.9999588,0.9999413,0.99989074,0.99989825,0.99991184
1,0.9999839,0.9999789,0.38240984,0.6390171,0.9999844,0.9999825,0.9999633,0.99996525,0.9999715
2,0.9998518,0.9998332,0.37691197,0.64260244,0.9998513,0.99986064,0.9997539,0.99973804,0.99971914
3,0.99997836,0.99996907,0.3777091,0.61928535,0.99997365,0.9999763,0.99995047,0.99995834,0.9999611
4,0.99993676,0.9998768,0.37953514,0.61670214,0.9999149,0.9999202,0.9998383,0.99983585,0.999875
5,0.99999213,0.9999895,0.35488555,0.61213166,0.9999923,0.9999915,0.99998194,0.9999835,0.99998754
6,0.9999384,0.99990314,0.34238377,0.60506505,0.99993587,0.9999334,0.9998744,0.9998842,0.9998985
7,0.9999551,0.99992764,0.38220936,0.6164822,0.99994284,0.999949,0.9998912,0.999894,0.99990666
8,0.99998045,0.9999755,0.38321754,0.6295769,0.9999777,0.99997926,0.99995744,0.9999585,0.9999676
9,0.99996954,0.9999576,0.38238755,0.6350912,0.99996793,0.99996823,0.9999309,0.9999351,0.9999453
10,0.9999382,0.99993473,0.3563298,0.62287307,0.9999428,0.9999376,0.9999026,0.9999027,0.99989533
11,0.99999255,0.99998873,0.3724178,0.6254748,0.99999267,0.99999166,0.9999808,0.99998266,0.99998677
12,0.99995977,0.9999319,0.34903505,0.6120051,0.99995553,0.9999567,0.99990726,0.99991435,0.9999303
13,0.9998495,0.9997764,0.35474187,0.6310807,0.99983555,0.99987495,0.9996679,0.9997259,0.9997385
14,0.9999833,0.9999807,0.38206056,0.6364653,0.99998516,0.99998343,0.99996614,0.9999678,0.9999747
15,0.99999225,0.9999896,0.36822242,0.6286767,0.9999923,0.99999183,0.9999821,0.9999829,0.9999873
16,0.99998564,0.99997777,0.3837404,0.62770075,0.99998444,0.99998343,0.9999636,0.9999662,0.9999693
17,0.9996512,0.9996353,0.4005971,0.6443471,0.9996977,0.99961483,0.9989926,0.99930453,0.9993532
18,0.9999915,0.9999871,0.37544906,0.6124243,0.9999913,0.99999,0.99997693,0.99998057,0.99998456
19,0.99998116,0.9999773,0.372184,0.6263613,0.99998343,0.99998033,0.9999646,0.9999645,0.9999673
20,0.99997586,0.9999634,0.3960136,0.6455688,0.999976,0.9999725,0.99994075,0.9999421,0.9999483
21,0.9999925,0.99998933,0.36078775,0.621188,0.9999925,0.99999183,0.99998164,0.99998343,0.9999875
22,0.9999896,0.9999841,0.38230157,0.62054145,0.9999887,0.99998736,0.9999729,0.9999754,0.9999793
23,0.9999874,0.9999813,0.36372745,0.6034718,0.99998677,0.99998575,0.99996835,0.9999716,0.99997926
24,0.99993354,0.9999214,0.3762864,0.6564873,0.99993575,0.9999199,0.99984235,0.9998634,0.99986964
25,0.9999495,0.9999282,0.3427431,0.6094762,0.9999509,0.9999413,0.9998934,0.9999039,0.9999229
26,0.9999441,0.9999356,0.40319693,0.63864774,0.99994904,0.9999416,0.9998896,0.99989897,0.999912
27,0.9999689,0.99994445,0.39387885,0.618653,0.9999638,0.99995756,0.9999,0.99991673,0.9999313
28,0.9999212,0.99989444,0.37286445,0.62784886,0.9999188,0.99991626,0.99982995,0.99984735,0.9998559
29,0.99995047,0.99992734,0.35911295,0.6082119,0.9999435,0.999952,0.99990416,0.9999179,0.99990714
30,0.9999564,0.9999545,0.38336486,0.6456974,0.99996,0.9999641,0.9999122,0.99991167,0.99994385
31,0.9999338,0.99987835,0.39671916,0.6150457,0.9999126,0.9999092,0.9997851,0.99981195,0.99985373
32,0.99998796,0.9999831,0.3631442,0.61980236,0.9999883,0.99998784,0.9999707,0.9999743,0.99998033
33,0.9995777,0.99942046,0.41207668,0.6476496,0.9996338,0.99956405,0.999177,0.9990175,0.9990494
34,0.9999902,0.99998623,0.3723781,0.61836636,0.99998903,0.9999888,0.9999766,0.99997824,0.9999827
35,0.99992317,0.99991804,0.344822,0.61752903,0.999929,0.9999327,0.99988025,0.9998743,0.9998722
36,0.99991184,0.9998741,0.3927302,0.62968606,0.9999071,0.9999141,0.9997802,0.99980074,0.99984723
37,0.9999798,0.999973,0.3908591,0.62298274,0.99997675,0.99997723,0.99995315,0.99996006,0.9999654
38,0.9999752,0.9999671,0.36790833,0.6352311,0.9999746,0.99997324,0.99994487,0.9999491,0.99995345
39,0.9999757,0.99996006,0.39199418,0.6188815,0.9999723,0.99997103,0.9999347,0.99993765,0.9999526
40,0.9999717,0.9999597,0.37777752,0.6313365,0.9999714,0.9999716,0.9999324,0.99993795,0.99995005
41,0.99995667,0.9999455,0.3956348,0.65376365,0.99995697,0.99995464,0.9999,0.9998957,0.9999262
42,0.99997866,0.99997187,0.34985003,0.62084645,0.9999788,0.9999771,0.99995416,0.9999582,0.9999662
43,0.9999195,0.99985313,0.36525398,0.5817605,0.99990696,0.999897,0.99981564,0.9997971,0.9998583
44,0.9999893,0.99998564,0.35869154,0.6196628,0.999989,0.99998814,0.99997544,0.99997747,0.9999828
45,0.999984,0.9999729,0.38906074,0.6212018,0.9999827,0.99997914,0.9999522,0.9999596,0.9999655
46,0.9998813,0.9998479,0.38454255,0.64963925,0.9998742,0.99988997,0.9997678,0.99975985,0.99973065
47,0.9999468,0.9999167,0.40044928,0.63187003,0.99992764,0.99993783,0.9998748,0.9998881,0.99988896
48,0.99998593,0.9999792,0.38831234,0.6382879,0.9999862,0.9999843,0.9999645,0.99996704,0.99997413
49,0.99996114,0.99995047,0.38843715,0.6382271,0.9999592,0.9999591,0.9999181,0.9999164,0.9999288
50,0.99998516,0.999979,0.38386184,0.6212278,0.9999836,0.99998283,0.999965,0.9999706,0.9999734
51,0.9999735,0.9999584,0.38586473,0.6271712,0.99997395,0.9999676,0.99992436,0.99993575,0.9999467
52,0.99994916,0.99990374,0.39679813,0.61727124,0.9999378,0.99992603,0.99982953,0.9998564,0.99987715
53,0.9999833,0.99997914,0.37909254,0.6442076,0.9999839,0.99998397,0.999962,0.99996346,0.9999744
54,0.99998647,0.99998236,0.3777646,0.64203966,0.99998724,0.99998516,0.9999685,0.99997073,0.99997663
55,0.99999154,0.9999878,0.36719313,0.62362576,0.99999183,0.99999094,0.99997884,0.99998134,0.99998575
56,0.9999927,0.99998957,0.37650162,0.6266565,0.99999297,0.99999195,0.99998194,0.99998343,0.9999875
57,0.9999871,0.99998116,0.3563578,0.61715794,0.99998677,0.999986,0.9999687,0.99997234,0.99997896
58,0.9999876,0.9999819,0.38656855,0.6354873,0.99998796,0.99998605,0.99996895,0.99997085,0.9999772
59,0.9999905,0.9999854,0.38140655,0.6248778,0.9999903,0.99998885,0.99997514,0.9999774,0.9999812
60,0.99998075,0.9999694,0.3763209,0.61578995,0.99997914,0.99997824,0.99995285,0.9999557,0.99996555
61,0.99998176,0.9999737,0.37512493,0.63175076,0.99997854,0.99997956,0.9999543,0.9999583,0.99996656
62,0.99995804,0.99993396,0.38236177,0.62878525,0.99994624,0.9999517,0.9998985,0.9999107,0.9999157
63,0.9999861,0.9999835,0.35349858,0.6198756,0.99998724,0.9999859,0.9999722,0.9999727,0.99997747
64,0.9999713,0.9999602,0.38359612,0.6432757,0.99996746,0.99997044,0.99993736,0.9999348,0.9999397
65,0.9999824,0.999979,0.38509893,0.6347843,0.9999824,0.99998266,0.9999633,0.9999619,0.9999727
66,0.9999147,0.99982625,0.3756819,0.60254645,0.9999015,0.9998858,0.9998032,0.9997621,0.9998411
67,0.9998551,0.99983704,0.3970156,0.600999,0.99983597,0.9998487,0.9996831,0.99975204,0.99979794
68,0.9999891,0.99998266,0.38280693,0.61887413,0.9999879,0.9999865,0.9999706,0.9999737,0.9999776
69,0.99994916,0.99990624,0.3677327,0.6054516,0.9999448,0.9999373,0.9998844,0.99987286,0.99991214
70,0.99999297,0.99999046,0.36436233,0.6136118,0.9999931,0.9999923,0.9999834,0.9999852,0.9999883
71,0.99998516,0.9999773,0.38791832,0.62966037,0.999985,0.999983,0.9999623,0.99996483,0.9999721
72,0.9998705,0.99982417,0.36824852,0.6005188,0.99985635,0.9998687,0.9997409,0.99980235,0.9997729
73,0.9999906,0.9999856,0.38041598,0.6297258,0.9999907,0.9999893,0.9999756,0.99997777,0.99998254
74,0.9999466,0.9999364,0.34210905,0.61459106,0.9999503,0.99995124,0.9999107,0.99990815,0.9999194
75,0.9999834,0.9999727,0.36991316,0.61174357,0.9999811,0.9999797,0.9999584,0.99996054,0.99997026
76,0.9999709,0.9999624,0.3921617,0.6530792,0.9999722,0.9999706,0.99993676,0.9999322,0.9999487
77,0.9999388,0.9999197,0.37099403,0.6249439,0.99992794,0.9999258,0.9998649,0.99988085,0.9998981
78,0.9999751,0.9999667,0.39050683,0.63738436,0.9999733,0.9999736,0.9999411,0.9999457,0.9999561
79,0.999986,0.9999817,0.37586898,0.6231881,0.9999866,0.99998516,0.9999702,0.9999734,0.9999764
80,0.9999866,0.99997985,0.37923646,0.6426953,0.9999866,0.9999843,0.99996483,0.99996835,0.99997485
81,0.9998623,0.9998735,0.41140032,0.6464425,0.99989,0.9998666,0.99974257,0.999724,0.9998278
82,0.9999809,0.9999765,0.37680838,0.63745856,0.9999794,0.9999807,0.9999586,0.9999596,0.9999697
83,0.9999482,0.99993056,0.39847574,0.6189931,0.9999317,0.9999429,0.9998786,0.9998996,0.99990916
